day_of month,name,info
11,Jana Bennett,", 66, American-born British media executive, brain cancer."
11,Orlando Busino,", 95, American cartoonist."
11,Ahmet Yılmaz Çalık,", 27, Turkish footballer (Galatasaray, Konyaspor, national team), traffic collision."
11,Jeffery Paul Chan,", 79, American author () and scholar."
11,Stephen Churchett,", 74, British actor (, , )."
11,Mike Cochran,", 85, American journalist (Associated Press, )."
11,Evence-Charles Coppée,", 68, Belgian press director, director of  (1996–2005)."
11,Jerry Crutchfield,", 87, American music executive."
11,Mihir Das,", 62, Indian actor (, , )."
11,Razmik Davoyan,", 81, Armenian poet."
11,Louis Dupré,", 96, Belgian religious philosopher."
11,Francesco Focardi,", 72, Italian Roman Catholic prelate, vicar apostolic of Camiri (2009–2017)."
11,Richard Folmer,", 79, American actor (, , )."
11,Dinos Hadjinicolas,", 66, Cypriot politician, member of the House of Representatives (2003–2011)."
11,Marleen Hutchful,", 35, Ghanaian actress (), acute myeloid leukemia."
11,Boris Khazanov,", 93, Russian writer."
11,Magawa,", 8, Cambodian African giant pouched rat, HeroRAT."
11,Duryodhan Majhi,", 83, Indian politician, Odisha MLA (1990–2019)."
11,Kay McNamee,", 91, Canadian Olympic swimmer (1948, 1952)."
11,Khaleel Mohammed,", 66, Guyanese-Canadian religious scholar. (death announced on this date)"
11,Abdillahi Nassir,", 89, Kenyan Islamic scholar."
11,Hans Nisblé,", 76, German politician."
11,Pang Chien-kuo,", 68, Taiwanese politician, member of the Legislative Yuan (2002–2005), fall."
11,Klaus Ploghaus,", 65, German hammer thrower, Olympic bronze medalist (1984)."
11,Karl Harrington Potter,", 94, American Indologist."
11,A. G. S. Ram Babu,", 59, Indian politician, MP (1989–2001), COVID-19."
11,Herman Rechberger,", 74, Austrian-born Finnish composer."
11,Tim Rosaforte,", 66, American golf writer (ESPN, ) and broadcaster (), complications from Alzheimer's disease."
11,Jordi Sabatés,", 73, Spanish pianist."
11,Guy Sajer,", 94, French writer () and cartoonist."
11,Phil Samis,", 94, Canadian ice hockey player (Toronto Maple Leafs), Stanley Cup champion (1948)."
11,Noureddine Sammoud,", 90, Tunisian author."
11,David Sassoli,", 65, Italian politician and journalist, member (since 2009) and president (since 2019) of the European Parliament, complications from multiple myeloma."
11,Arna Schram,", 53, Icelandic journalist (, , )."
11,Ernest Shonekan,", 85, Nigerian politician, interim head of state (1993)."
11,Snowfall,", 3, Japanese-bred Irish racehorse, euthanized. (death announced on this date)"
11,Valentina Sorokina,", 85, Russian politician, member of the Supreme Soviet of the Soviet Union (1971–1975)."
11,Don Sutherin,", 85, American Hall of Fame football player (Hamilton Tiger-Cats, Ottawa Rough Riders, Pittsburgh Steelers) and coach."
11,Charles V. Willie,", 94, American sociologist."
11,Jules Wright,", 88, American politician, member of the Alaska House of Representatives (1967–1969)."
12,Christopher Alao-Akala,", 71, Nigerian politician, governor of Oyo State (2006, 2007–2011)."
12,Luis Castañeda,", 76, Peruvian politician and lawyer, mayor of Lima (2003–2010, 2015–2018), cardiopulmonary arrest."
12,CPO Boss Hogg,", 58, American rapper."
12,Marie-José Denys,", 71, French politician, MEP (1989–1994, 1997–1999)."
12,Jan Einar Greve,", 88, Norwegian lawyer."
12,Colin Harburn,", 83, Australian cricketer (Western Australia)."
12,William Hogan,", 84, Canadian politician, Newfoundland and Labrador MHA (1989–1993)."
12,Marc Janson,", 91, Belgian-born French painter."
12,Willem Jewett,", 58, American politician, member of the Vermont House of Representatives (2003–2017), assisted suicide."
12,Serge Koster,", 81, French writer and academic."
12,Stjepan Lamza,", 81, Croatian footballer (Dinamo Zagreb, Châteauroux, Yugoslavia national team)."
12,Everett Lee,", 105, American violinist and conductor."
12,Frank Moe,", 56, American politician, member of the Minnesota House of Representatives (2005–2008), brain cancer."
12,Chu Okongwu,", 87, Nigerian economist and politician, minister of finance (1986–1990)."
12,Iraj Pezeshkzad,", 94, Iranian writer ()."
12,Waiphot Phetsuphan,", 79, Thai luk thung singer."
12,Didier Poidyaliwane,", 55, New Caledonian politician and pro-independence activist."
12,Richard W. Sabers,", 83, American jurist, justice of the South Dakota Supreme Court (1986–2008)."
12,Stephen H. Sachs,", 87, American politician, attorney general of Maryland (1979–1987)."
12,Meier Schwarz,", 95, German-born Israeli plant physiologist."
12,Shebby Singh,", 61, Malaysian footballer (Johor, Kuala Lumpur, national team), heart attack."
12,Adi Andojo Soetjipto,", 89, Indonesian jurist and lecturer."
12,Ronnie Spector,", 78, American Hall of Fame singer (The Ronettes), cancer."
12,Sun Bigan,", 80, Chinese diplomat, ambassador to Saudi Arabia (1990–1994), Iraq (1994–1998), Iran (1999–2002)."
12,Taffy Thomas,", 76, Welsh jockey."
12,Ahmed Touili,", 79, Tunisian academic."
12,Aminata Touré,", 69, Guinean politician, mayor of Kaloum (since 2018)."
12,Eduard Vaytsyakhovich,", 61, Belarusian politician, deputy (1996)."
12,Geoff Wilson,", 82, Australian footballer (Hawthorn)."
12,George O. Wood,", 80, American Pentecostal minister, general superintendent of the Assemblies of God USA (2007–2017), cancer."
12,J. Robert Wright,", 85, American Episcopalian priest and church historian, complications from COVID-19."
12,Joseph Zangerle,", 72, Luxembourgish footballer (Union Luxembourg, national team)."
13,Joe Babich,", 81, New Zealand winemaker."
13,Jean-Jacques Beineix,", 75, French film director (, , ), leukaemia."
13,Mario Cámpora,", 91, Argentine diplomat, ambassador to the United Kingdom (1990–1994) and Belgium (1995–1999)."
13,Rick Cook,", 77, American author."
13,L. Adrienne Cupples,", 77, American epidemiologist and biostatistician, cancer."
13,Werner Delmes,", 91, German field hockey player, Olympic bronze medalist (1956)."
13,Israel S. Dresner,", 92, American Reform rabbi and civil rights activist, colon cancer."
13,Jim Forest,", 80, American writer and lay theologian."
13,Larry Forgy,", 82, American politician."
13,Arturo Frei Bolívar,", 82, Chilean politician, deputy (1969–1973) and senator (1990–1998)."
13,Lisa Goddard,", 55, American climate scientist, breast cancer."
13,Donald Gurnett,", 81, American space physicist."
13,John Hempel,", 86, American mathematician."
13,Kalamandalam Kuttan Asan,", 84, Indian Kathakali artist."
13,Ashling Murphy,", 23, Irish music teacher and traditional music performer, strangled."
13,Cholly Naranjo,", 87, Cuban baseball player (Pittsburgh Pirates), complications from COVID-19."
13,Darby Nelson,", 81, American politician and environmentalist."
13,Troy Pickard,", 48, Australian politician, president of the Australian Local Government Association (2014–2016), mayor of Joondalup (2006–2017)."
13,Wajeeh Qassim,", 83, Palestinian politician and diplomat, ambassador to Morocco (1988–2005)."
13,S. Ramesan,", 69, Indian poet, orator and literary activist."
13,Chiara Samugheo,", 86, Italian photographer."
13,Rudolf Schwemmbauer,", 78, German politician."
13,Junior Siavii,", 43, American football player (Kansas City Chiefs, Dallas Cowboys, Seattle Seahawks)."
13,Abdul Sajid Tamrin,", 69, Indonesian politician, mayor of Baubau (since 2013)."
13,Lambert Amon Tanoh,", 95, Ivorian politician, minister of education (1963–1970), COVID-19."
13,Terry Teachout,", 65, American playwright and critic ()."
13,Len Tillem,", 77, American attorney and radio broadcaster (KVON, KSRO, KGO)."
13,Claire Tomlinson,", 77, British polo player and coach."
13,Sonny Turner,", 83, American singer (The Platters), throat cancer."
13,Fred Van Hove,", 84, Belgian jazz musician."
13,Giacomo Vianello,", 74, Italian footballer (Como)."
13,Raúl Vilches,", 67, Cuban volleyball player, Olympic bronze medallist (1976), cancer."
13,Caroline Wickham-Jones,", 66, British archaeologist, amyloidosis."
13,Lynn Yeakel,", 80, American politician and academic administrator."
13,Farrukh Zeynalov,", 79, Azerbaijani politician, deputy (2005–2010)."
14,H. P. S. Ahluwalia,", 85, Indian mountaineer."
14,J. Alexander,", 83, Indian civil servant and politician, Karnataka MLA (1999–2004), heart attack."
14,Ann Arensberg,", 84, American book publishing editor and author, COVID-19."
14,Flo Ayres,", 98, American radio actress."
14,Ricardo Bofill,", 82, Spanish architect, founder of Ricardo Bofill Taller de Arquitectura, COVID-19."
14,Boris Brozhovsky,", 86, Russian cinematographer (, , )."
14,"Tom Clark, a.k.a. Thomas F. Clark",", 93, American sculptor of gnomes"
14,Maria Aurora Couto,", 84, Indian writer and educationalist."
14,Leonid Derkach,", 82, Ukrainian politician, head of the security service (1998–2001)."
14,Jim Fahy,", 75, Irish journalist (RTÉ News and Current Affairs)."
14,Dallas Frazier,", 82, American country musician and songwriter (""There Goes My Everything"", ""All I Have to Offer You (Is Me)"", ""Elvira"")."
14,Angelo Gilardino,", 80, Italian composer, guitarist and musicologist."
14,Ron Goulart,", 89, American author and comics historian."
14,Alice von Hildebrand,", 98, Belgian-born American philosopher and theologian."
14,Thiago de Mello,", 95, Brazilian poet and translator."
14,Lol Morgan,", 90, English footballer (Rotherham United, Darlington) and manager (Norwich City)."
14,Sean Rice,", 49, Canadian figure skater."
14,Edward Roberts,", 81, Canadian politician, Newfoundland and Labrador MHA (1966–1985, 1992–1996) and lieutenant governor (2002–2006)."
14,Maoi Roca,", 47, Filipino basketball player (Batangas Blades) and actor, complications from diabetes."
14,Angelo Rossetto,", 75, Italian Olympic rower (1972)."
14,"John Sainsbury, Baron Sainsbury of Preston Candover",", 94, British businessman and politician, chairman of Sainsbury's (1969–1992) and member of the House of Lords (since 1989)."
14,Malladi Chandrasekhara Sastry,", 96, Indian Vedic scholar."
14,Paolo Schiavocampo,", 97, Italian painter and sculptor."
14,Peter Seabrook,", 86, British gardening writer and television broadcaster, heart attack."
14,Bill Seward,", 63, American broadcaster, cancer."
14,Jaswant Singh,", 90, Indian field hockey player, Olympic silver medallist (1960)."
14,Carol Speed,", 76, American actress (, , )."
14,Anastasia Voznesenskaya,", 78, Russian actress (, , ), COVID-19."
14,Kameshwar C. Wali,", 94, Indian-born American physicist."
14,Dave Wolverton,", 64, American writer (), fall."
14,Yuri Zhuravlyov,", 87, Russian mathematician."
15,Slim Andrews,", 90, American country musician, cancer."
15,Rink Babka,", 85, American discus thrower, Olympic silver medallist (1960)."
15,Amit Bhardwaj,", 38, Indian businessman and convicted fraudster, cardiac arrest."
15,Marlon Bundo,", 8–9, American rabbit and book subject (, )."
15,Ebrahim Buzhu,", 52, Dutch drug trafficker, shot."
15,Nino Cerruti,", 91, Italian stylist, founder of Cerruti 1881, complications from hip surgery."
15,Ed Cheff,", 78, American college baseball coach (Lewis–Clark State College)."
15,Claire D. Clarke,", American politician, member of the New Hampshire House of Representatives (2001–2011)."
15,Dan Einstein,", 61, American record producer, Grammy winner (1987, 1988)."
15,Ralph Emery,", 88, American Hall of Fame disc jockey and television host."
15,Michelle Go,", 40, American financial advisor, struck by train."
15,Michelle Grangaud,", 80, Algerian-born French poet."
15,Joe B. Hall,", 93, American Hall of Fame basketball coach (Kentucky Wildcats)."
15,Paul Hinshelwood,", 65, English footballer (Crystal Palace). (death announced on this date)"
15,Bernard Ryosuke Inagaki,", 93, Japanese philosopher and scholar, stomach cancer."
15,Michael Jackson,", 87, British-American Hall of Fame talk radio host (KABC, KGIL), complications from Parkinson's disease."
15,Stephen Kovacs,", 50, American saber fencer and coach."
15,Jon Lind,", 73, American songwriter (""Save the Best for Last"", ""Crazy for You"") and musician, cancer."
15,Jean-Claude Lord,", 78, Canadian film director (, , ) and screenwriter, stroke."
15,Aurora del Mar,", 87, Argentine actress (, , )."
15,Robert E. McCarthy,", 82, American politician, member of the Massachusetts House of Representatives (1971–1975) and Senate (1975–1981)."
15,Alexa McDonough,", 77, Canadian politician, Nova Scotia MLA (1981–1995) and MP (1997–2003), complications from Alzheimer's disease."
15,John McIndoe,", 87, British Church of Scotland minister, moderator of the General Assembly (1996–1997)."
15,Félix Ormazabal,", 81, Spanish politician, member of the Basque parliament (1980, 1984–1995)."
15,Scot Palmer,", 84, Australian sports journalist."
15,Robert Péri,", 80, French footballer (Bordeaux, FC Metz, Toulon)."
15,Quarto Pianesi,", 81, Italian Olympic field hockey player (1960), COVID-19."
15,Beverly Ross,", 87, American musician (Ronald & Ruby) and songwriter (""Lollipop"", ""The Girl of My Best Friend""), dementia."
15,Ramazan Rragami,", 77, Albanian football player (Vllaznia Shkodër, Partizani Tirana, national team) and manager."
15,Michel Ruhl,", 87, French actor (, )."
15,María Cristina Sangri Aguilar,", 81, Mexican politician, deputy (1985–1991)."
15,Steve Schapiro,", 87, American photojournalist, pancreatic cancer."
15,David Schumacher,", 90, Australian Olympic wrestler (1956)."
15,Nazim Hussain Siddiqui,", 81, Pakistani politician and lawyer, Chief Justice (2003–2005)."
15,Tong Wai Ki,", 82, Hong Kong politician, member of the People's PCC (2008–2013)."
15,Hossein Valamanesh,", 72, Iranian-Australian artist, heart attack."
15,Andrew P. Vayda,", 90, Hungarian-born American anthropologist."
15,Reidar Webster,", 87, Norwegian civil servant, state conciliator (1988–2004)."
16,Ibrahim Ashk,", 70, Indian poet and lyricist, complications from COVID-19."
16,Jaco Azafrani,", 89, Spanish football player (UD España, Rayo Vallecano) and manager (San Fernando)."
16,Tova Berlinski,", 106, Polish-born Israeli painter."
16,Ethan Blackaby,", 81, American baseball player (Milwaukee Braves)."
16,Morton J. Blumenthal,", 90, American politician, member of the Connecticut House of Representatives (1971–1975)."
16,Michael Brecher,", 96, Canadian political scientist."
16,Rocco J. Carzo,", 89, American football (Tufts) and lacrosse coach (Delaware)."
16,William Cochran,", 78, American opera singer."
16,Carmela Corren,", 83, Israeli singer (""Vielleicht geschieht ein Wunder"") and actress (, )."
16,William Daley,", 96, American ceramist and academic."
16,Brian DeLunas,", 46, American baseball coach (Seattle Mariners, Missouri Tigers), kidney disease."
16,Rod Driver,", 89, British-born American mathematician and politician, member of the Rhode Island House of Representatives (1987–1995, 2009–2011)."
16,Bas Edixhoven,", 59, Dutch mathematician and academic."
16,Sten Elliot,", 96, Swedish Olympic sailor (1960)."
16,Alekos Fassianos,", 86, Greek painter."
16,Richard J. Ferris,", 85, American business executive (United Airlines Limited), complications from amyotrophic lateral sclerosis."
16,Kevin Flynn,", 82, Irish rugby union player (Wanderers, national team)."
16,Françoise Forton,", 64, Brazilian actress (, )."
16,Bob Gajda,", 81, American bodybuilder."
16,John Rice Irwin,", 91, American cultural historian, founder of the Museum of Appalachia."
16,Ibrahim Boubacar Keïta,", 76, Malian politician, president (2013–2020), prime minister (1994–2000) and president of the National Assembly (2002–2007)."
16,Tafazzal Hossain Khan,", 101, Bangladeshi jurist and politician, MP (1979–1982), pneumonia."
16,Birju Maharaj,", 83, Indian Kathak dancer, heart attack."
16,Charles McGee,", 102, American fighter pilot (Tuskegee Airmen)."
16,Shaoli Mitra,", 74, Indian playwright and actress ()."
16,Lucienne Moreau,", 88, French actress."
16,Andrei Mudrea,", 67, Moldovan painter and plastic artist."
16,"Paul Myners, Baron Myners",", 73, British politician, member of the House of Lords (since 2008)."
16,Georges Pelletier,", 82, Canadian doctor."
16,Alleppey Ranganath,", 72, Indian composer (, ), film director and screenwriter (), COVID-19."
16,Jill Robb,", 87, English-born Australian film producer and executive."
16,Shizuo Satō,", 90, Japanese politician, councillor (1992–1998), heart attack."
16,Jeremy Sivits,", 42, American army reservist and convicted war criminal, COVID-19."
16,Jamie Vincent,", 46, English footballer (Bournemouth, Portsmouth, Swindon Town), heart attack."
16,Gale Wade,", 92, American baseball player (Chicago Cubs)."
16,Rabia Zuberi,", 81, Pakistani sculptor, founder of the Karachi School of Art."
17,Carlos Mario Álvarez,", 54, Colombian politician, mayor of Armenia (2016–2018)."
17,Oliver Braddick,", 77, British developmental psychologist."
17,Jonathan Brown,", 82, American art historian."
17,Juan Caviglia,", 92, Argentine Olympic gymnast (1952, 1960)."
17,Jackie Fisher,", 96, English footballer (Millwall, Bournemouth)."
17,Armando Gama,", 67, Portuguese singer-songwriter (""Esta balada que te dou"")."
17,Edward Irons,", 98, American economist, heart disease."
17,Bill Jackson,", 86, American television personality ( ), complications from COVID-19."
17,Dean Jaensch,", 85, Australian political scientist."
17,Michel Konen,", 70, Belgian journalist."
17,Björn Natthiko Lindeblad,", 60, Swedish economist and Buddhist monk, assisted suicide."
17,Benoît Lwamba,", 76, Congolese magistrate, president of the Court of Cassation (2015–2020)."
17,Gilbert S. Merritt Jr.,", 86, American jurist, judge (since 1977) and chief judge (1989–1996) of the U.S. Court of Appeals for the Sixth Circuit."
17,Joseph M. Minard,", 90, American politician, member of the West Virginia Senate (1990–1994, 1998–2013)."
17,Rasheed Naz,", 73, Pakistani actor (, , )."
17,Stan Neilly,", 79, Australian politician, NSW MLA (1981–1988, 1991–1999)."
17,Merrill Newman,", 93, American army officer."
17,Keiji Nishikawa,", 60, Japanese shogi player."
17,Patricia Kenworthy Nuckols,", 100, American Hall of Fame field hockey player (national team) and WASP pilot."
17,Karim Ouellet,", 37, Senegalese-born Canadian singer-songwriter."
17,M. K. Prasad,", 89, Indian environmentalist, COVID-19."
17,Balram Singh Rai,", 100, Guyanese politician, minister of home affairs (1961–1962). (death announced on this date)"
17,Roger Samuels,", 61, American baseball player (Pittsburgh Pirates, San Francisco Giants), cancer."
17,Mihir Sengupta,", 75, Indian writer."
17,Raima Islam Shimu,", Bangladeshi actress. (body discovered on this date)"
17,Michel Subor,", 86, French actor (, , ), traffic collision."
17,Ronald G. Tompkins,", 70, American physician and academic."
17,Jennifer Toye,", 88, British opera singer."
17,Hale Trotter,", 90, Canadian-American mathematician."
17,Va'ai Papu Vailupe,", 77, Samoan politician, MP (1991–2001, 2006–2011) and minister of justice (1996–1998)."
17,Neela Wickramasinghe,", 71, Sri Lankan singer, heart attack."
18,Lorenzo Alocén,", 84, Spanish Olympic basketball player (1968)."
18,Hilario Candela,", 87, Cuban-born American architect, COVID-19."
18,Sir David Cox,", 97, British statistician (Cox process, )."
18,Narayan Debnath,", 96, Indian cartoonist (, , )."
18,Guillaume Domingue,", 36, Mauritian radio broadcaster."
18,Fanita English,", 105, Romanian-born American psychoanalyst."
18,Burton M. Fine,", 89, American politician, member of the New York State Assembly (1961–1965)."
18,Dave Finney,", 88, American politician, member of the Texas House of Representatives (1962–1977)."
18,Ron Franklin,", 79, American sportscaster (ESPN)."
18,Francisco Gento,", 88, Spanish football player (Real Madrid, national team) and manager (Granada)."
18,Dick Halligan,", 78, American musician (Blood, Sweat & Tears) and film composer (Grammy, 1970),  winner ()."
18,Lusia Harris,", 66, American Hall of Fame basketball player (Delta State Lady Statesmen, Houston Angels), Olympic silver medalist (1976)."
18,Paavo Heininen,", 84, Finnish composer and pianist."
18,Michelangelo La Neve,", 62, Italian comics writer (, ) and screenwriter ()."
18,Jean Laborde,", 99, French resistant and politician, deputy (1977–1995)."
18,Ankica Lepej,", 73–74, Croatian whistleblower, COVID-19."
18,Tito Matos,", 53, Puerto Rican requinto player, heart attack."
18,Paddy Mendis,", 88, Sri Lankan aviator, commander of the air force (1971–1976)."
18,Jordan Michallet,", 29, French rugby union player (FC Grenoble, CS Bourgoin-Jallieu, Rouen Normandie Rugby), suicide by jumping."
18,Alberto Michelotti,", 91, Italian Hall of Fame football referee and player (Fidenza)."
18,Arnold Mickens,", 49, American football player (Indianapolis Colts)."
18,Yvette Mimieux,", 80, American actress (, , )."
18,Anatoliy Novikov,", 75, Ukrainian judoka, Olympic bronze medalist (1972)."
18,Arvid Nyberg,", 93, Norwegian politician, mayor of Trysil (1972–1999)."
18,Jan Økern,", 69, Norwegian business executive."
18,David L. Paul,", 82, American banker (CenTrust Bank), real estate developer and convicted fraudster, complications from COVID-19."
18,Don Pepot,", 88, Filipino comedian, actor (, , ) and radio host, COVID-19."
18,Donald Philbrick,", 87, American politician, member of the New Hampshire House of Representatives (1993–2007)."
18,Elio Pietrini,", 83, Argentine-Venezuelan actor (, , ), COVID-19."
18,Manoel Henriques Ribeiro,", 76, Brazilian politician, mayor of Manaus (1986–1988)."
18,Peter Robbins,", 65, American actor (, , ), suicide."
18,Badal Roy,", 82, Indian tabla player, percussionist and recording artist, COVID-19."
18,Vic Roznovsky,", 83, American baseball player (Chicago Cubs, Baltimore Orioles, Philadelphia Phillies)."
18,Eliezer Schweid,", 92, Israeli philosopher."
18,Stepan Shalaev,", 93, Russian politician, chairman of the All-Union Central Council of Trade Unions (1982–1990)."
18,Shi Jiuyong,", 95, Chinese jurist, judge (1994–2010) and president (2003–2006) of the International Court of Justice."
18,Jan Smith,", 76, American Olympic speed skater (1964), complications from a stroke."
18,André Leon Talley,", 73, American fashion journalist (), complications from a heart attack and COVID-19."
18,Eloy Tato Losada,", 98, Spanish-born Colombian Roman Catholic prelate, bishop of Magangué (1969–1994)."
19,Tommy Angell,", 97, American Olympic fencer (1964)."
19,Yevgeny Aryeh,", 74, Israeli theater director, playwright, and set designer."
19,Bill Beeny,", 95, American Baptist minister."
19,Sonya Biddle,", 64, Canadian actress (, , ) and politician."
19,Antonio Borrometi,", 68, Italian politician, deputy (1996–2001)."
19,Leland Byrd,", 94, American basketball player, coach and athletics administrator (Western Michigan Broncos, West Virginia Mountaineers)."
19,Hans-Jürgen Dörner,", 70, German football player (Dynamo Dresden, East Germany national team) and manager (Werder Bremen), Olympic champion (1976)."
19,Dan Dworsky,", 94, American architect and football player (Michigan Wolverines)."
19,Nils Arne Eggen,", 80, Norwegian football player (Vålerenga, national team) and manager (Rosenborg)."
19,Elmar Fischer,", 85, Austrian Roman Catholic prelate, bishop of Feldkirch (2005–2011), COVID-19."
19,Kirsten Fründt,", 54, German politician."
19,Antonina Girycz,", 82, Polish actress (, , )."
19,Bob Goalby,", 92, American golfer, Masters winner (1968)."
19,Stanisław Grędziński,", 76, Polish Olympic sprinter (1968), European champion (1966)."
19,Qazi Anwar Hussain,", 85, Bangladeshi writer ()."
19,Kenneth Norman Jones,", 97, Australian public servant."
19,Michael Jones,", 79, Canadian new-age pianist and composer."
19,Haig H. Kazazian Jr.,", 84, American geneticist, heart failure."
19,Fraser Kelly,", 87, Canadian journalist and broadcaster."
19,Hardy Krüger,", 93, German actor (, , ) and author."
19,Richard Liversedge,", 81, British Olympic luger (1968, 1972, 1976)."
19,Anatoly Malofeyev,", 88, Belarusian politician, speaker of the House of Representatives (1997–2002) and member of the Politburo (1990–1991)."
19,Gloria McMillan,", 88, American actress ()."
19,Tom Mount,", 82, American diver."
19,Aleksandr Nazarenko,", 74, Russian historian, COVID-19."
19,Pan Ziqiang,", 85, Chinese engineer, member of the Chinese Academy of Engineering."
19,Marcus Reichert,", 73, American painter, photographer, and film director."
19,Nigel Rogers,", 86, English tenor."
19,Rafael Rojas,", 59, Mexican operatic tenor."
19,Mohan Prasad Sharma,", 87, Nepalese jurist, chief justice of the Supreme Court (1998–1999)."
19,Lyman F. Sheats Jr.,", 55, American pinball designer, suicide."
19,Billy Taylor,", 69, British Olympic boxer (1972)."
19,Gaspard Ulliel,", 37, French actor (César, 2017, ),  winner (), skiing accident."
19,Jamye Coleman Williams,", 103, American activist."
20,Sir Martin Berthoud,", 90, British diplomat, high commissioner to Trinidad and Tobago (1985–1991)."
20,Heidi Biebl,", 80, German alpine skier, Olympic champion (1960)."
20,Bobs Worth,", 16, Irish racehorse."
20,Gernot Böhme,", 85, German philosopher and author."
20,Randy Boyd,", 59, Canadian ice hockey player (Pittsburgh Penguins, New York Islanders, Vancouver Canucks)."
20,David Bramwell,", 79, British botanist."
20,Bernardo Caraballo,", 87, Colombian boxer, heart disease."
20,Athan Catjakis,", 90, American politician, member of the Massachusetts House of Representatives (1985–1993)."
20,José Augusto Curvo,", 72, Brazilian politician, deputy (1991–1995, 2016), complications from COVID-19."
20,Frank Dutton,", 72, South African police officer."
20,Eduardo Flores,", 77, Argentine footballer (Estudiantes), cancer."
20,Carla Galle,", 73, Belgian Olympic swimmer (1968)."
20,Ron Grey,", 91, Australian senior army officer and Commissioner of the Federal Police (1983–1988)."
20,Gary W. Johnston,", 57, American major general."
20,Benjamin Kogo,", 77, Kenyan steeplechase runner, Olympic silver medalist (1968), prostate cancer."
20,Hattie Ladbury,", 47, British actress (), cancer."
20,Sergio Lepri,", 102, Italian journalist, director of ANSA (1961–1990)."
20,Emil Mangelsdorff,", 96, German jazz musician."
20,Meat Loaf,", 74, American singer (""Two Out of Three Ain't Bad"", ""I'd Do Anything for Love"") and actor (), complications from COVID-19."
20,Juro Mětšk,", 67, German composer."
20,Camillo Milli,", 92, Italian actor (, , ), complications from COVID-19."
20,Domingo Miras,", 87, Spanish dramatist."
20,Klaus Peter Möller,", 84, German politician, member (1977–2003) and president (1988–1991, 1995–2003) of the Landtag of Hesse."
20,Hideo Onchi,", 88, Japanese film director (), lung cancer."
20,Popcorn Deelites,", 23, American racehorse and animal actor (), colic."
20,René Robert,", 85, Swiss-born French photographer, hypothermia."
20,Clyde Sanger,", 93, British-Canadian journalist and author."
20,Egon Schübeler,", 94, German politician, member of the Landtag of Schleswig-Holstein (1967–1987)."
20,Elza Soares,", 91, Brazilian singer."
20,Earl Swensson,", 91, American architect (AT&T Building, Gaylord Opryland Resort & Convention Center)."
20,Donald Serrell Thomas,", 87, British crime fiction writer."
20,Karolos Trikolidis,", 74, Austrian conductor."
20,Sam Wetzel,", 91, American lieutenant general."
20,Kostiantyn Yastrub,", 86, Ukrainian politician, chairman of the Cherkasy Oblast Council (1991–1992)."
20,Irwin Young,", 94, American film stock businessman."
21,Louie Anderson,", 68, American comedian, actor (1997, 1998), and game show host (2016), Emmy winner (, , ), large B-cell lymphoma."
